word,value
toki,100
e,100
li,100
pona,100
soweli,99
lili,99
mi,99
ala,99
mute,99
telo,99
sitelen,99
sina,99
tenpo,99
moku,99
ilo,99
ona,99
sona,99
ike,99
pakala,99
musi,99
tawa,99
ken,99
lon,99
pilin,99
o,99
jan,99
ni,99
seme,99
wile,99
suli,99
lukin,98
suwi,98
lipu,98
pi,98
pali,98
kama,98
tomo,98
wawa,98
ijo,98
luka,98
ma,98
lape,98
ante,98
nimi,98
pana,98
la,98
kulupu,98
a,97
nasa,97
suno,97
kalama,97
taso,97
nasin,97
kepeken,97
kasi,97
tan,97
waso,97
jo,97
open,97
olin,97
awen,97
pini,97
wan,97
kili,97
sama,97
lawa,97
kiwen,97
utala,97
seli,97
sewi,96
sin,96
nanpa,96
weka,96
moli,96
insa,96
linja,96
sike,96
mama,96
kala,96
kon,96
pimeja,96
kute,96
alasa,96
tu,95
pipi,95
poka,95
mun,95
jelo,95
len,95
ale,95
anu,95
jaki,95
poki,95
uta,94
lete,94
laso,94
loje,94
anpa,94
akesi,94
en,94
kule,94
palisa,94
walo,94
sijelo,93
ko,93
pan,93
noka,93
supa,92
mani,92
esun,92
lupa,91
nena,91
monsi,90
sinpin,90
mu,89
selo,89
kin,87
unpa,87
monsuta,86
meli,79
mije,79
tonsi,77
n,75
namako,74
leko,73
kipisi,72
kijetesantakalu,72
soko,68
misikeke,68
pu,56
lanpan,55
majuna,52
meso,47
ku,45
epiku,44
jasima,43
nimisin,42
oko,42
linluwi,41
su,30
ali,26
usawi,22
kiki,21
wuwojiti,20
omekapo,19
te,18
to,18
kokosila,17
powe,17
nja,17
apeja,16
oke,15
isipin,15
san,13
melome,12
mijomi,12
puwa,12
soto,11
teje,11
wa,10
owe,10
jami,9
kapesi,9
unu,9
kamalawala,9
taki,9
kulijo,8
pake,8
po,8
konwe,8
wekama,8
pika,8
penpo,7
wasoweli,7
misa,7
ojuta,7
yupekosi,7
sutopatikuna,6
kisa,6
mulapisu,4
eliki,4
Pingo,4
alu,4
pata,3
jonke,3
lonsi,3
pakola,3
kan,2
juna,2
pa,2
poni,2
ta,1
ki,1
lo,1
kapo,0
jalate,0
