word,value
sina,100
pona,100
moku,100
toki,100
nimi,100
li,100
sona,100
ni,100
suli,100
lon,100
ilo,99.96
tawa,99.96
musi,99.96
lape,99.96
mute,99.96
ike,99.96
tenpo,99.96
lili,99.96
e,99.96
ala,99.93
kama,99.93
wile,99.93
pakala,99.93
sin,99.93
lipu,99.93
la,99.93
o,99.93
soweli,99.93
sitelen,99.89
wan,99.89
seme,99.89
telo,99.89
ma,99.89
mi,99.89
wawa,99.89
ken,99.89
suno,99.89
taso,99.89
pana,99.85
ijo,99.85
kulupu,99.85
sike,99.85
moli,99.85
pilin,99.82
linja,99.82
nasin,99.82
pali,99.82
luka,99.82
nasa,99.82
pini,99.82
tomo,99.82
jan,99.78
pi,99.78
kili,99.78
ona,99.78
sama,99.75
nanpa,99.75
kiwen,99.75
kasi,99.75
mama,99.75
lawa,99.75
loje,99.71
palisa,99.71
pimeja,99.67
olin,99.67
kalama,99.67
suwi,99.67
jelo,99.67
a,99.64
len,99.64
awen,99.64
tan,99.64
laso,99.64
ante,99.64
insa,99.64
kute,99.64
tu,99.6
sewi,99.6
seli,99.6
waso,99.6
weka,99.56
open,99.56
utala,99.53
jaki,99.53
kala,99.49
walo,99.49
poki,99.49
pipi,99.49
kepeken,99.46
anu,99.46
kule,99.46
ko,99.46
lupa,99.38
noka,99.38
en,99.38
sijelo,99.38
lete,99.35
poka,99.35
pan,99.31
anpa,99.31
kon,99.31
alasa,99.27
jo,99.24
supa,99.16
mun,99.13
lukin,99.09
sinpin,99.09
akesi,99.09
uta,99.06
mani,98.98
selo,98.73
nena,98.69
esun,98.66
monsi,98.58
mu,98.47
unpa,98.4
pu,95.17
ale,92.74
monsuta,83.88
kin,82.97
tonsi,82.06
meli,82.03
mije,81.63
kijetesantakalu,74.66
n,73.42
namako,72.11
kipisi,71.46
leko,69.5
ku,66.59
soko,64.89
misikeke,63.29
lanpan,58.53
oko,52.11
meso,51.96
su,50.33
epiku,49.67
majuna,45.75
jasima,43.28
nimisin,38.02
linluwi,37.8
ali,31.95
kokosila,26.36
usawi,23.07
wuwojiti,22.26
kiki,21.31
powe,18.48
apeja,17.61
oke,15.61
omekapo,14.92
isipin,13.22
yupekosi,12.67
te,12.64
to,12.6
nja,11.29
san,10.82
wa,10.35
puwa,10.02
melome,9.8
mijomi,9.4
pake,9.04
kapesi,8.82
kamalawala,8.75
ojuta,8.42
owe,8.13
kulijo,8.1
unu,7.99
jami,7.88
taki,7.52
teje,7.48
soto,7.33
misa,7.3
konwe,7.04
sutopatikuna,6.64
po,6.64
wasoweli,6.64
wekama,5.88
pika,5.74
penpo,5.27
pakola,5.08
mulapisu,4.97
Pingo,4.43
kisa,3.96
eliki,3.85
alu,3.74
lonsi,3.09
kije,2.87
kan,2.8
pa,2.47
jipi,2
ki,1.27
ta,1.2
lo,0.76
lan,0.65
nini,0.25
mejuse,0
nujosi,0
