,0
296,1.0
876,49.66666666666669
901,56.99999999999994
228,59.66666666666663
406,93.00000000000003
758,95.00000000000003
106,99.33333333333337
508,109.00000000000003
108,116.66666666666666
553,117.0
404,118.00000000000009
712,118.33333333333333
174,118.99999999999997
237,119.0
736,119.33333333333331
594,119.33333333333334
365,119.66666666666667
752,120.00000000000001
657,120.00000000000001
187,120.33333333333333
389,120.66666666666673
836,120.99999999999997
850,121.00000000000001
639,121.00000000000004
466,121.33333333333333
340,121.33333333333333
223,121.33333333333336
838,121.33333333333336
868,121.66666666666666
575,121.66666666666667
567,121.66666666666667
323,121.66666666666669
770,122.0
111,122.0
656,122.00000000000001
843,122.33333333333331
355,122.33333333333333
205,122.66666666666666
593,122.66666666666666
229,122.66666666666667
881,122.66666666666669
144,123.0
929,123.00000000000001
903,123.00000000000001
142,123.00000000000001
336,123.3333333333333
686,123.3333333333333
683,123.33333333333334
920,123.33333333333334
230,123.66666666666664
312,123.66666666666667
645,123.99999999999997
505,123.99999999999999
832,123.99999999999999
633,123.99999999999999
573,123.99999999999999
253,124.0
922,124.0
113,124.0
523,124.00000000000001
88,124.00000000000001
896,124.33333333333331
652,124.33333333333331
730,124.33333333333333
242,124.33333333333333
378,124.33333333333334
887,124.33333333333334
11,124.33333333333336
292,124.33333333333336
607,124.33333333333337
558,124.66666666666664
691,124.66666666666664
970,124.66666666666666
766,124.66666666666667
169,124.66666666666669
954,124.6666666666667
301,125.0
445,125.00000000000001
871,125.00000000000003
305,125.33333333333331
820,125.33333333333331
522,125.33333333333333
526,125.33333333333333
391,125.33333333333333
846,125.33333333333336
841,125.33333333333337
897,125.66666666666664
915,125.66666666666666
632,125.66666666666666
89,125.66666666666666
432,125.66666666666667
860,125.66666666666667
751,125.66666666666667
809,125.66666666666669
146,125.66666666666669
924,125.66666666666669
617,125.6666666666667
162,125.99999999999999
463,125.99999999999999
757,126.0
513,126.0
471,126.00000000000001
251,126.00000000000003
401,126.00000000000004
356,126.33333333333333
150,126.33333333333333
561,126.33333333333334
82,126.33333333333334
225,126.33333333333334
280,126.33333333333334
772,126.33333333333334
458,126.33333333333336
648,126.33333333333336
101,126.33333333333337
57,126.66666666666664
869,126.66666666666666
894,126.66666666666667
176,126.66666666666667
222,126.66666666666667
775,126.66666666666669
261,126.66666666666669
202,126.66666666666669
576,126.6666666666667
267,126.6666666666667
350,126.99999999999999
532,126.99999999999999
661,127.0
206,127.0
723,127.0
596,127.00000000000001
925,127.00000000000001
482,127.00000000000003
626,127.00000000000003
735,127.00000000000003
898,127.00000000000004
143,127.3333333333333
448,127.33333333333331
956,127.33333333333331
200,127.33333333333333
512,127.33333333333333
182,127.33333333333333
640,127.33333333333333
493,127.33333333333334
410,127.33333333333336
942,127.33333333333336
148,127.66666666666664
659,127.66666666666666
975,127.66666666666666
834,127.66666666666666
415,127.66666666666667
666,127.66666666666667
129,127.66666666666667
207,127.66666666666669
494,127.99999999999999
184,128.0
226,128.00000000000003
810,128.33333333333331
706,128.33333333333334
764,128.33333333333334
317,128.33333333333334
130,128.33333333333334
249,128.33333333333334
928,128.33333333333334
588,128.33333333333334
393,128.33333333333334
437,128.3333333333334
821,128.66666666666666
309,128.66666666666666
917,128.66666666666666
619,128.66666666666666
858,128.66666666666666
440,128.66666666666666
510,128.66666666666666
514,128.66666666666666
890,128.66666666666669
852,128.66666666666669
906,128.66666666666669
153,128.66666666666669
193,128.66666666666669
816,128.66666666666669
763,128.66666666666669
880,128.6666666666667
497,128.6666666666667
35,129.0
190,129.0
604,129.0
866,129.0
568,129.0
110,129.0
444,129.0
557,129.00000000000003
839,129.00000000000003
183,129.00000000000006
62,129.33333333333331
268,129.33333333333331
455,129.33333333333331
803,129.33333333333331
815,129.33333333333331
69,129.33333333333331
623,129.33333333333331
61,129.33333333333331
290,129.33333333333334
214,129.33333333333337
966,129.3333333333334
166,129.66666666666663
170,129.66666666666663
320,129.66666666666666
972,129.66666666666666
50,129.66666666666666
636,129.66666666666666
874,129.66666666666666
491,129.66666666666666
278,129.66666666666666
765,129.66666666666666
779,129.66666666666666
307,129.66666666666666
707,129.66666666666666
486,129.66666666666669
552,129.66666666666669
886,129.66666666666669
844,129.66666666666669
139,129.66666666666669
654,129.66666666666669
851,129.66666666666669
950,129.66666666666669
136,129.66666666666669
438,129.66666666666669
271,129.66666666666669
366,129.66666666666669
68,129.66666666666669
695,129.6666666666667
165,129.99999999999997
75,129.99999999999997
31,129.99999999999997
417,129.99999999999997
782,130.0
485,130.0
579,130.0
930,130.0
742,130.0
250,130.0
385,130.0
725,130.0
333,130.00000000000006
195,130.33333333333331
328,130.33333333333331
699,130.33333333333331
180,130.33333333333331
957,130.33333333333334
403,130.33333333333334
600,130.33333333333334
895,130.33333333333337
569,130.33333333333337
248,130.33333333333337
761,130.66666666666666
624,130.66666666666666
511,130.66666666666666
680,130.66666666666666
40,130.66666666666666
592,130.66666666666666
3,130.66666666666666
325,130.66666666666669
615,130.66666666666669
625,130.66666666666669
100,130.66666666666669
470,130.66666666666669
490,130.66666666666669
453,130.6666666666667
769,130.6666666666667
135,130.99999999999994
808,130.99999999999997
212,130.99999999999997
612,130.99999999999997
944,131.0
787,131.0
701,131.0
441,131.0
674,131.0
419,131.0
115,131.0
219,131.0
977,131.0
609,131.0
107,131.0
893,131.00000000000003
555,131.3333333333333
786,131.33333333333331
889,131.33333333333331
173,131.33333333333331
923,131.33333333333331
833,131.33333333333331
43,131.33333333333334
931,131.33333333333334
218,131.33333333333334
433,131.33333333333334
634,131.33333333333334
540,131.33333333333337
357,131.66666666666663
778,131.66666666666663
807,131.66666666666663
909,131.66666666666666
693,131.66666666666666
717,131.66666666666666
