word,value
li,100
mi,100
ike,100
toki,100
ala,100
pali,100
sona,100
wile,100
e,100
pona,100
moku,100
wawa,100
lili,100
mute,100
ken,100
pakala,100
tawa,100
sitelen,100
sina,100
lon,100
pilin,100
seme,100
moli,100
ilo,100
o,100
tenpo,100
suli,100
nimi,100
ma,100
kasi,100
ona,100
kulupu,100
kama,100
suno,100
musi,100
awen,100
lawa,100
kalama,100
wan,100
tomo,100
ni,100
la,100
sin,100
soweli,100
jan,100
suwi,100
nasa,100
telo,100
tan,100
taso,100
ijo,100
lipu,100
pini,100
lukin,100
luka,100
tu,100
insa,100
ante,100
seli,100
lape,100
a,99
kiwen,99
pi,99
sama,99
waso,99
kala,99
mama,99
olin,99
utala,99
kili,99
nasin,99
open,99
sewi,99
jelo,99
kute,99
nanpa,99
alasa,99
loje,99
kule,99
laso,99
kepeken,99
pipi,99
weka,99
linja,99
mun,99
pimeja,99
pana,99
jaki,99
akesi,99
sike,99
walo,99
lete,99
kon,99
anpa,99
en,99
len,99
anu,99
palisa,99
poka,99
poki,99
noka,99
uta,99
sijelo,99
esun,99
supa,99
jo,99
ko,99
sinpin,99
nena,99
monsi,99
mu,99
lupa,99
selo,98
mani,98
pan,98
unpa,98
ale,94
pu,94
kin,86
monsuta,85
meli,82
mije,81
tonsi,79
kijetesantakalu,76
n,74
namako,73
kipisi,71
leko,71
soko,66
misikeke,64
ku,61
lanpan,56
majuna,51
epiku,49
su,48
oko,47
meso,46
nimisin,44
jasima,42
linluwi,39
ali,29
wuwojiti,20
kokosila,19
kiki,18
usawi,18
apeja,17
powe,17
oke,15
omekapo,15
te,14
isipin,14
to,13
nja,13
san,11
wa,11
owe,10
yupekosi,9
melome,8
kamalawala,8
mijomi,8
soto,8
puwa,8
teje,8
jami,7
penpo,7
ojuta,7
wasoweli,7
kapesi,7
kulijo,7
unu,7
po,7
taki,6
pika,6
konwe,6
pake,6
wekama,6
misa,6
sutopatikuna,5
pakola,4
kisa,4
eliki,4
mulapisu,4
jonke,3
Pingo,3
lonsi,3
juna,3
alu,3
kan,2
pata,2
pa,1
ki,1
poni,1
ta,1
lo,1
anake,0
kapo,0
